Descrição produto;Preço;Código de barras;
ÓLEO DE SOJA TIPO 1 COCAMAR GARRAFA 900ML;RR$ 11,50;7897001010014;
CREME DENTAL COLGATE TRIPLA ACAO 90G;RR$ 6,20;7891024132005;
CREME DENTAL MENTA COLGATE TRIPLA AÇÃO CAIXA 50G;RR$ 4,40;7891024131909;
CREME DENTAL MENTA COLGATE CAIXA 50G;RR$ 6,20;7891024132906;
ENXAGUANTE BUCAL COLGATE PLAX FRESH MINT 250ML;RR$ 15,90;7891024136409;
AMACIANTE DE ROUPA CONCENTRADO COMFORT 500ML;RR$ 16,40;7891150048492;
ALCOOL COPERALCOOL 500ML;RR$ 8,80;7896090703616;
HASTES FLEXIVEIS COTONELA 75UNI;RR$ 3,80;7898916237015;
ÁLCOOL LÍQUIDO 46,2º INPM DA ILHA FRASCO 500ML;RR$ 8,20;7896017200709;
SUCO CAJU DAFRUTA CAIXA 1L;RR$ 6,80;7896005401279;
SUCO UVA DAFRUTA CAIXA 1L;RR$ 6,80;7896005403525;
SUCO LARANJA DAFRUTA CAIXA 1L ;RR$ 6,80;7896005401286;
SUCO MARACUJA DAFRUTA CAIXA 1L;RR$ 6,80;7896005402757;
SUCO GOIABA DAFRUTA CAIXA 1L;RR$ 6,80;7896005401330;
SUCO GOIABA DAFRUTA CAIXA 1L;RR$ 6,80;	7896005403587;
SUCO PÊSSEGO DAFRUTA PREMIUM CAIXA 1L;RR$ 6,80;7896005401347;
SUCO UVA DAFRUTA PREMIUM CAIXA 1L;RR$ 6,80;7896005401323;
ESCOVA DENTRE CLASSIC FRESH 1UN ;RR$ 5,90;7898395843400;
ESCOVA DENTE FRESH ECONOMIC S 219 1UN ;RR$ 5,90;7898395840362;
ESCOVA DENTE DENTRAT FRESH SUPER CLEA 1UN ;RR$ 7,20;7898395840140;
FIO DENTAL DENTRAT 100M;RR$ 6,70;7898395841123;
VINHO URUGUAIO CABERNET SAUVIGNON DI MALLO 750ML;RR$ 33,90;7896267773831;
VINHO URUGUAIO MERLOT DI MALLO 750ML;RR$ 33,90;7896267773855;
VINHO URUGUAIO SAUVIGNON BLANC DI MALLO 750ML;RR$ 33,90;7896267773749;
FERMENTO EM PO DONA BENTA 100G;RR$ 4,40;7896005279489;
MACARRAO DONA BENTA ESPAGUETE 500G;RR$ 5,90;7896005286579;
MARGARINA DORIANA C/SAL 250G;RR$ 5,90;7894904574780;
BISCOITO AGUA E SAL DOTIM DOTOSO 330G;RR$ 6,40;7897707405435;
BISCOITO CREAM CRACKER DOTIM DOTOSO 330G;RR$ 6,60;7897707405374;
PAPEL HIGIENICO DUETTO FOLHA DUPLA 4UN ;RR$ 10,90;7896026850148;
AGUA MINERAL COM GAS D´FONTE 510 ML;RR$ 3,50;7897237700284;
AGUA MINERAL SEM GAS D´FONTE 510 ML;RR$ 3,30;7897237700048;
VINHO CHILENO CABERNET SAUVIGNON EL OTRO 750ML;RR$ 33,90;7804310552609;
ACENDEDOR ALCOOL SOLIDO FIAT LUX 90G;RR$ 12,20;7896007932030;
ALCOOL 80 FIAT LUX GEL ACENDEDOR 420G;RR$ 12,20;7896007939039;
FÓSFORO EXTRA LONGO FIAT LUX 50 UN;RR$ 4,80;7896007941254;
PALITO DE DENTE FIAT LUX 100 UN;RR$ 1,90;7896007952144;
FÓSFORO FIAT LUX COZINHA FORTES 200 UNIDADES;RR$ 4,80;7896007942534;
SABONETE CAMOMILA FRANCIS 85G;RR$ 3,90;7891176117509;
SABONETE GARDENIA FRANCIS 85G;RR$ 3,90;7891176117486;
SABONETE LIRIO FRANCIS 85G;RR$ 3,90;7891176117349;
APRESUNTADO FATIADO FRIMESA 200G;RR$ 8,20;7896275900977;
APRESUNTADO FRILANCHE FRIMESA 200G;RR$ 8,20;7896275900984;
CREME DE LEITE FRIMESA 200G;RR$ 5,90;7896275960582;
PRESUNTO FATIADO FRIMESA 200G;RR$ 11,20;7896275900953;
QUEIJO MUSSARELA FATIADO FRIMESA 200G;RR$ 16,90;7896275970383;
SALSICHA HOT DOG FRIMESA 420G;RR$ 12,40;7896275920265;
FEIJÃO CARIOCA FUGINI SACHÊ 250G;RR$ 4,00;7897517209223;
FEIJAO PRETO FUGINI SACHE 250G;RR$ 4,20;7897517209247;
MOLHO DE TOMATE FUGINI 300G;RR$ 3,40;7897517206086;
VINHO CHILENO CABERNET SAUVIGNON G7 750ML;RR$ 33,90;7804310546233;
VINHO CHILENO CABERNET SAUVIGNON G7 1L;RR$ 33,90;7804310553989;
VINHO CHILENO BRANCO G7 1L;RR$ 33,90;7804310553996;
VINHO CHILENO SAUVIGNON BLANC G7 750ML;RR$ 33,90;7804310546240;
CHOCOLATE BAUNILHA AO LEITE TORTUGUITA 15,5G;RR$ 1,80;7898142865044;
CHOCOLATE TORTUGUITA 11,5G;RR$ 1,80;7898142865037;
CHOCOLATE AO LEITE GAROTO 90G;RR$ 7,60;7891008168884;
CEREAL MATINAL ORIGINAL KELLOGGS SUCRILHOS CAIXA 150G;RR$ 11,20;7896004000602;
CERVEJA HEINEKEN LATA 269ML;RR$ 5,30;7896045506590;
MAIONESE HEMMER 500G;RR$ 14,80;7891031412176;
KETCHUP TRADICIONAL HEMMER 320G;RR$ 10,90;7891031409404;
MAIONESE TRADICIONAL HEMMER SQUEEZE 290G;RR$ 9,90;7891031412022;
MOSTARDA HEMMER 200G;RR$ 9,90;7891031405017;
CHOCOLATE AO LEITE COM OVOMALTINE HERSHEYS PACOTE 87G;RR$ 7,90;7899970400117;
CHOCOLATE AO LEITE EXTRACREMOSO HERSHEYS PACOTE 92G;RR$ 7,90;7899970400056;
CHOCOLATE HERSHEYS AIR 85G;RR$ 7,90;7899970400452;
CHOCOLATE AO LEITE HERSHEYS 92G;RR$ 7,90;7899970400018;
CHOCOLATE COOKIES CREME HERSHEYS 87G;RR$ 7,90;7899970400094;
